code;canton;departement;cereales;racines_et_legumes_divers;cultures_diverses;prairies_artificielles;jacheres;total_des_terres_labourables;prairies_naturelles;vignes;autres_cultures_arborescentes;paturages;autres_surfaces_ecoumene;superficie_totale;marais_susceptibles_d_etre_desseches;code_departement;centre;longitude;latitude
371;CHINON;INDRE ET LOIRE;53402;7701;3579;8578;19761;93021;9967;11430;216;11614;43000;169248;1120;37;;0,2433000;47,1692000
372;LOCHES;INDRE ET LOIRE;70783;4645;225;6204;30957;112814;8790;4258;0;23195;30777;179834;0;37;;0,9745000;47,1223000
373;TOURS;INDRE ET LOIRE;92221;7688;2809;12906;35928;151552;15100;21197;2895;12495;59049;262288;128;37;;0,6949000;47,3943000
381;GRENOBLE;ISERE;50640;6551;2969;12711;15039;87910;31886;9855;3542;95581;182354;411128;1608;38;;5,7155000;45,1842000
382;SAINT-MARCELLIN;ISERE;27966;3664;1718;6073;6631;46052;9327;7485;1313;3169;39811;107157;159;38;;5,3166000;45,1526000
383;LA TOUR DU PIN;ISERE;52214;4813;1154;5212;8623;72016;14954;2915;1967;7283;34042;133177;1715;38;;5,4459000;45,5743000
384;VIENNE;ISERE;66758;6998;2370;14868;16895;107889;10354;5836;1208;4475;47710;177472;3100;38;;4,8803000;45,5221000
391;DOLE;JURA;33592;2291;3508;3397;9482;52270;10164;4550;138;2146;48665;117933;130;39;;5,5024000;47,0739000
392;LONS LE SAUNIER;JURA;43809;5529;2216;6910;5351;63815;16693;9834;256;24736;39039;154373;451;39;;5,5574000;46,6758000
393;POLIGNY;JURA;23746;1307;1570;12310;6463;45396;12252;5147;154;8603;51764;123316;550;39;;5,7166000;46,8262000
394;SAINT CLAUDE;JURA;13021;2231;205;7054;5831;28342;8967;78;61;28630;37701;103779;116;39;;5,8802000;46,4098000
401;DAX;LANDES;39033;2066;2943;660;1837;46539;11568;5752;1294;59476;106499;231128;3908;40;;-1,0637000;43,7025000
402;MONT DE MARSAN;LANDES;45212;1209;5269;365;5542;57597;9836;6578;687;273129;182040;529867;4474;40;;-0,5009000;43,8931000
403;SAINT SEVER;LANDES;42739;8886;3511;1708;7134;63978;6556;7806;1561;50551;40684;171136;1793;40;;-0,5612000;43,7646000
411;BLOIS;LOIR ET CHER;101598;4042;2323;22211;27017;157191;9852;19391;31;11438;55321;253224;2324;41;;1,3049000;47,5813000
412;ROMORANTIN;LOIR ET CHER;72519;1925;2529;946;35243;113162;9587;2290;565;45912;38659;210175;2855;41;;1,7368000;47,3725000
413;VENDOME;LOIR ET CHER;80545;1939;1740;15774;27754;127752;8974;3911;192;3909;26955;171693;15;41;;1,0646000;47,7995000
421;MONTBRISON;LOIRE;66712;7081;2316;3282;28003;107394;32522;3346;93;15518;35182;194055;10;42;;4,0719000;45,6016000
422;ROANNE;LOIRE;52649;4727;1423;3318;39808;101925;26906;6733;23;8533;34342;178462;32;42;;4,0797000;46,0443000
423;SAINT ETIENNE;LOIRE;22999;4641;1142;3257;9472;41511;24236;2594;446;7816;26842;103445;100;42;;4,3665000;45,4241000
431;BRIOUDE;HAUTE LOIRE;39557;5917;897;1744;28330;76445;18177;4361;60;18041;40008;157092;10;43;;3,3847000;45,2968000
432;ISSINGEAUX;HAUTE LOIRE;30251;4477;512;106;13657;49003;23518;373;4;13832;28766;115496;14;43;;4,0420206;45,1343278
433;LE PUY;HAUTE LOIRE;66481;10750;500;1591;23769;103091;49756;895;200;25872;43823;223637;164;43;;3,8973000;45,0283000
441;ANCENIS;LOIRE INFERIEURE;27448;1783;1849;1775;18117;50972;11089;3679;49;1777;11547;79113;0;44;;-1,1681000;47,3820000
442;CHATEAUBRIANT;LOIRE INFERIEURE;41589;2000;1257;2922;19250;67018;19584;686;269;20598;31416;139571;37;44;;-1,3912000;47,7199000
443;NANTES;LOIRE INFERIEURE;49861;10103;4726;6825;18285;89800;28998;18617;1868;8426;26302;174011;3646;44;;-1,5603000;47,2382000
444;PAIMBOEUF;LOIRE INFERIEURE;25966;2250;1179;1640;16358;47393;12292;4086;0;3057;10042;76870;1105;44;;-2,0280000;47,2912000
445;SAVENAY;LOIRE INFERIEURE;45211;3380;2341;2733;15194;68859;44165;2515;446;55243;46664;217892;5310;44;;-1,9203000;47,3542000
451;GIEN;LOIRET;55733;1876;2667;7966;24884;93126;7519;2605;184;8871;34854;147159;120;45;;2,6687000;47,7175000
